"product_id","code_retour","code_produit","quantite","descr_produit","description_retour","qte_inventaire","qte_detruite","taux_restock","poids","poids_produits","quantite_recue"
"569","5876","RGP2T","30","GRAISSE - PREMIUM GR_2 TUBES (430G)","PRODUITS LIVRÉS À LA MAUVAISE ADRESSE","0","30","0","0","33","0"
"570","5877","HT2180","1","GRAISSE - HT2 (180KG)","PRODUIT ENDOMMAGÉ DANS LE TRANSPORT","1","0","0","0","0","1"
"571","5878","MOLY425","1","MOLY+ AEROSOL 425G","PRODUIT DÉFECTUEUX","0","1","0","0","1","1"
"572","5878","MA340","1","MAXEP AEROSOL 340G","PRODUIT DÉFECTUEUX","0","1","0","0","1","1"
"573","5879","SW400","6","ANTI. WINTERGUARD EN AEROSOL 400G","PRODUITS REÇUS EN TROP","0","0","0","0","7","0"
"575","5880","EXPO_TENTE 10X20","1","TENTE 10X20",,"1","0","0","0","1","1"
"576","5880","EXPO_DRAPEAU","1","DRAPEAU SINTO (DRAPEAU & BATONS)",,"1","0","0","0","1","1"
"577","5880","EXPO_PIEDS DE DRAPEAU","1","PIEDS DE DRAPEAU (SEULEMENT)",,"1","0","0","0","1","1"
"578","5881","RG0T","10","GRAISSE - RG0 HIVER TUBES (400G)",,"0","10","0","0","11","0"
"579","5881","RG1T","3","GRAISSE - RG1 HIVER TUBES (425G)",NULL,"0","3","0","0","3","0"
"580","5882","L015-142","1","EMBOUT ROND ANTIROUILLE #28 - (PIS-KIT)","PRODUIT NON REÇU","0","1","0","0","0","0"
"581","5883","RG2180S","1","GRAISSE - RG2 (180KG)","NE VEUT PLUS LE PRODUIT","1","0","0.05","0","400","1"
"582","5884","POMPE_TRANSFERT","1","POMPE DE TRANSFERT (PRÊT)",,"1","0","0","0","40","1"
"583","5885","EXPO_DRAPEAU","1","DRAPEAU SINTO (DRAPEAU & BATONS)",,"1","0","0","0","1","1"
"584","5885","EXPO_PIEDS DE DRAPEAU","1","PIEDS DE DRAPEAU (SEULEMENT)",,"1","0","0","0","1","1"
"585","5886","TH18.9","1","HUILE TRANSHYDRAULIQUE  - 18.9L","PRODUIT ENDOMMAGÉ DANS LE TRANSPORT","0","1","0","0","42","0"
"586","5887","IP4","4","PERFORMA: HUILE 2 TEMPS SYN 4L","PRODUITS ENDOMMAGÉS","0","4","0","0","32","4"
"587","5888","IP8","2","PERFORMA: HUILE 2 TEMPS SYN 8L","PRODUITS MAL SCELLÉS","0","2","0","0","32","2"
"588","5889","MAX0W40S1","12","MAX4 0W40: HUILE 4 TEMPS SYN 1L","MAUVAIS FORMAT","0","0","0","0","24","0"
"589","5890","S2020N","1","S2000 NOIR: ANTI. POLYMERIC 20L","MAUVAIS PRODUIT REÇU","1","0","0","0","0","1"
"590","5891","RG1T","60","GRAISSE - RG1 HIVER TUBES (425G)","PRODUITS NON EXPÉDIÉS","0","0","0","0","66","0"
"591","5892","SYN100T","1","GRAISSE - SYN100% GR_2 (430 GR)","TUBE ENDOMMGÉ","0","1","0","0","1","0"
